property_name,pType_id,tedadTabaghe,property_size,address,tedadKoleTabaghat,TabagheDarVahed,bedrooms,lowest_price,VaziatBana,Jahat,nama,KafPush,ServiceKitchen,garage,VorudiMoshtarak,long_desc,amenities_id,property_slug,property_code,property_status,rent,house_mortgage,property_thumbnail,short_desc,bathrooms,property_video,latitude,longitude,featured,hot,agent_id,status,foundation_size
103,4,0,740,قلعه سفید,,,,2100000000,,شرقی,,,,,,آب کانال 45 دقیقه  آب چاه 30 دقیقه  درخت آلوچه  دیوارکشی دارد  ساخت ندارد  بدون کاغذ قیمت  بدون فیلم و عکس  ,6,103,103,buy,0,0,upload/property/thumbnail/photo_2022-12-14_16-26-07.jpg,,,,,,,,1,1,
104,1,0,118,15 خرداد,2,,2,2400000000,,شمالی,اجرنما,موزاییک,MDF,,1,با تسویه شهرداری  با کاغذ قیمت(مهدی خانیان - 1401/8/10  معاوضه با همکف  یک خواب بالا  یک خواب پایین,6,104,104,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
105,2,0,184,پشت ارگ,,,,2000000000,,شمالی,,,,,,کوچه ده متری  بدون کاغذ قیمت  همکار,6,105,105,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
106,4,0,657,بلوار جانبازان,,,,3628000000,آهن,جنوبی غربی,سیمان سیاه,موزاییک,فلز,1,1,3 خواب همکف - یک خواب سرپله  با کاغذ قیمت(مهدی خانیان - 1401/8/29)  با تسویه شهرداری  با گلخانه  قبل فروش باید خانه خریداری کنند و بعد بفروشند    ,6,106,106,buy,0,0,upload/property/thumbnail/photo_2022-11-13_12-24-45.jpg,,,,,,,,1,1,
108,1,0,150,خیابان معرفت,,,2,3800000000,نوساز,جنوبی,سنگ,سرامیک,های گلاس,1,1,درب ضد سرقت  فول کناف  سیستم کولر گازی بدون کولر  بدون تلفن  خیابان 14 متری  حمام مستر  کمد دیواری در دو اتاق  بدون کاغذ قیمت  همکار امید  8/70*17/20  تکمیل شده و کامل,6,108,108,buy,0,0,upload/property/thumbnail/photo_2022-11-13_13-09-21.jpg,,,,,,,,1,1,
135,4,0,1100,خیابان امام غربی,,,,3106000000,,شمالی,,,,,1,با کاغذ قیمت(مهدی خانیان - 1401/7/24)  درخت  استخر  30 دقیقه آب چاه  بدون فیلم و عکس  ساخت ندارد,6,135,135,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
136,1,0,162,بلوار فجر,2,,5,4361000000,نیمه اسکلت,شمالی,اجر زبره,سرامیک,MDF,,1,3 خواب بالا  1 خواب پایین  با کاغذ قیمت(مهدی  خانیان 1401/8/28)  قیمت جدید(1402/2/19 مهدی خانیان)  با تسویه شهرداری  1 اتاق سرپله(انباری)  کولر  راه پله,6,136,136,buy,0,0,upload/property/thumbnail/photo_2022-11-20_11-57-57.jpg,,,,,,,,1,1,
137,1,0,168,خیابان نمازی,2,,2,3800000000,بتونی,شمالی,اجرنما,سنگ,سنگ و فلز,,1,با کاغذ قیمت: مهدی خانیان1401/9/6  یک خواب همکف  یک خواب سرپله  یک اتاق کنار پشت بام به عنوان انباری  با تسویه شهرداری,6,137,137,buy,0,0,upload/property/thumbnail/GOPR1837.JPG,,,,,,,,1,1,
139,2,0,500,بلوار الغدیر,,,,1108000000,,غربی,,,,,,با کاغذ قیمت(مهدی خانیان - 1401/7/24)  8 دقیقه آب کانال  ,6,139,139,buy,0,0,upload/property/thumbnail/GOPR1836.JPG,,,,,,,,1,1,
140,1,0,161,خیابان شریعتی,2,,5,2040185000,سفت کاری شده,شمالی جنوبی,اجر زبره,,,1,1,با تسویه شهرداری  تیغه چینی  درب و دیوار و چنجره چینی  با کاغذ قیمت(بهزاد سلیمانی - بدون تاریخ)  سفتکاری  2 خواب همکف  3 خواب بالا,6,140,140,buy,0,0,upload/property/thumbnail/GOPR1846.JPG,,,,,,,,1,1,
141,1,0,129,خیابان منتظری شمالی,3,,,2600000000,سفت کاری شده,جنوبی,,,,1,1,قیمت شده توسط مهدی خانیان(کاغذ در بنگاه موجود نیست)  بدون فیلم و عکس  با تسویه شهرداری  ,6,141,141,buy,0,0,upload/property/thumbnail/GOPR1842.JPG,,,,,,,,1,1,
142,1,0,163,خیابان حججی,2٫5,,4,2657120000,سفت کاری شده,شمالی,,,,,1,با کاغذ قیمت(مهدی پورنمازیان - 1401/7/21)  سفتکاری  دو خواب همکف  دو خواب طبقه اول  نیم طبقه  بالا طبقه اول  ,6,142,142,buy,0,0,upload/property/thumbnail/GOPR1898.JPG,,,,,,,,1,1,
143,1,0,379,خیابان امیرکبیر,,,2,4086490000,کلنگی,غربی,اجرنما,موزاییک,سنگ و فلز,,1,پخ 11.30 به 3 متر دارد  کاغذ قیمت از مهدی پورنمازیان به تاریخ 1401/7/23  بدون عکس و فیلم  کولر و آلاچیق فلزی,6,143,143,buy,0,0,upload/property/thumbnail/GOPR1884.JPG,,,,,,,,1,1,
144,2,0,162,خیابان امام رضا,,,,972000000,,جنوبی,,,,,,یا کاغذ قیمت: ابراهیم پورنمازیان 1401/8/14  تسویه شهرداری  کاربری باغ,6,144,144,buy,0,0,upload/property/thumbnail/GOPR1874.JPG,,,,,,,,1,1,
146,2,0,138,بلوار ولی عصر,,,,2500000000,,جنوبی,,,,,,بدون کاغذ قیمت  قابلیت تجاری  معاوضه با منزل,6,146,146,buy,0,0,upload/property/thumbnail/GOPR1906.JPG,,,,,,,,1,1,
147,2,0,1101,بلوار دانشگاه,,,,2899160000,,جنوبی,,,,,,با کاغذ قیمت: مهدی پورنمازیان-1401/8/1  برق دارد  مجوز تفکیک شهرداری  دیوار یک طرف  سند تک برگ  معاوضه با آپارتمان تا حدود یک میلیارد و سیصد میلیون  ,6,147,147,buy,0,0,upload/property/thumbnail/GOPR1920.JPG,,,,,,,,1,1,
148,1,0,95,چهارباغ,2,,4,2109859000,بتونی,شمالی,سنگ,سرامیک,MDF,,1,با کاغذ قیمت: بهزاد سلیمانی(1401/8/29)  دو خواب پایین  دوخواب بالا  طبقه بالا سفتکاری  درب نرده  تسویه شهرداری,6,148,148,buy,0,0,upload/property/thumbnail/GOPR1871.JPG,,,,,,,,1,1,
150,1,0,143,خیابان معرفت,2,,3,5000000000,بتونی,جنوبی,سنگ,سرامیک,MDF,1,1,با کاغذ قیمت(مهدی خانیان-1401/8/29)  با تسویه شهرداری  تراس بالا  تانک و پمپ  پرده و کولر  یک خواب پایین  دو خواب بالا  دزدگیر  درب برقی,6,150,150,buy,0,0,upload/property/thumbnail/GOPR1936.JPG,,,,,,,,1,1,
151,1,0,399,خیابان معرفت,2,,3,10000000000,نوساز,شمالی,سنگ,سرامیک,های گلاس,1,1,بدون کاغذ قیمت  قیمت تقریبی  3 خواب همکف  1 اتاق سرپله  پکیج-کولر-حمام مستر  آبنما-کمد دیواری  فروش نقد یا معاوضه با ملک قابل قبول مالک  برق سه فاز  آب و آتش  زیرزمین  نورپردازی  ,6,151,151,buy,0,0,upload/property/thumbnail/GOPR1928.JPG,,,,,,,,1,1,
152,1,0,214,خیابان شیخ بهایی جنوبی,,,2,20915900000,آهن,شمالی,اجرنما,موزاییک,MDF,,1,باکاغذقیمت(ابراهیم پورنمازیان-1401/4/12)  کولر-شیروانی-آبگرمکن  زیرزمین,6,152,152,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
